Generation,Champion Fitness,Champion Complexity,Champion Depth
1,1033,21,4
2,1034,27,4
3,1034,31,5
4,1596,21,5
5,1596,21,5
6,2999,5,2
7,2999,5,2
8,2999,5,2
9,2999,5,2
10,2999,5,2
11,2999,5,2
12,2999,5,2
13,2999,5,2
14,2999,5,2
15,2999,5,2
16,2999,5,2
17,2999,9,3
18,2999,9,3
19,2999,11,4
20,2999,11,4
21,3005,11,4
22,3005,11,4
23,3005,11,4
24,3005,21,7
25,3005,11,4
26,3005,37,12
27,3005,97,18
28,3005,91,18
29,3561,51,9
30,3561,71,12
31,3561,103,15
32,3561,131,16
33,3561,153,16
34,3575,73,11
35,3575,43,9
36,3575,41,9
37,3575,23,7
38,3575,71,11
39,3575,71,11
40,3575,33,7
41,3575,83,13
42,3575,73,11
43,3575,73,11
44,3575,75,11
45,3575,73,11
46,3575,85,13
47,3575,77,13
48,3575,171,22
49,3575,77,13
50,3575,69,11
51,3575,121,18
52,3575,121,22
53,3575,129,24
54,3575,195,26
55,3575,135,14
56,3575,177,25
57,3575,79,13
58,3575,123,20
59,3575,97,15
60,3575,179,25
61,3575,115,16
62,3575,173,25
63,3575,101,20
64,3575,85,22
65,3575,167,25
66,3575,107,17
67,3575,175,26
68,3575,83,13
69,3575,113,16
70,3575,123,18
71,3575,91,14
72,3575,109,15
73,3575,109,18
74,3575,115,23
75,3575,63,12
76,3575,93,11
77,3575,93,12
78,3575,93,12
79,3575,167,19
80,3575,91,13
81,3575,109,16
82,3575,157,20
83,3575,119,15
84,3575,69,10
85,3575,53,12
86,3575,129,17
87,3575,61,10
88,3575,161,28
89,3575,97,16
90,3575,51,13
91,3575,145,20
92,3575,139,20
93,3575,149,24
94,3575,125,16
95,3575,105,17
96,3575,141,19
97,3575,191,17
98,3575,131,20
99,3575,67,12
100,3575,119,20
101,3575,101,11
102,3575,133,21
103,3575,83,11
104,3959,139,17
105,3959,139,17
106,3959,137,17
107,3959,137,17
108,3959,107,16
109,3959,135,17
110,3959,175,17
111,3959,127,17
112,3959,133,23
113,3959,141,17
114,4261,127,23
115,4261,127,23
116,4261,129,23
117,4261,151,26
118,4261,157,20
119,4261,125,23
120,4261,125,23
121,4261,125,23
122,4261,147,23
123,4261,129,17
124,4261,85,18
125,4261,129,24
126,4261,99,23
127,4261,153,27
128,4386,73,17
129,4386,73,17
130,4386,75,17
131,4386,75,17
132,4386,79,17
133,4386,41,11
134,4386,77,19
135,4386,85,15
136,4386,173,23
137,4386,83,16
138,4386,185,23
139,4386,177,18
140,4386,57,12
141,4386,175,19
142,4386,149,17
143,4386,79,14
144,4386,179,18
145,4386,93,17
146,4386,121,16
147,4386,103,14
148,4386,173,22
149,4386,117,14
150,4386,105,15
151,4386,171,21
152,4386,95,13
153,10530,7,3
154,10530,7,3
155,10530,7,3
156,10530,7,3
157,10530,7,3
158,10530,39,10
159,10530,7,3
160,10530,91,19
161,10530,11,5
162,10530,93,19
163,10530,15,6
164,10535,5,2
165,10535,33,10
166,10535,33,10
167,10535,37,11
168,10535,45,14
169,10535,53,17
170,10535,49,13
171,10535,27,8
172,10535,81,21
173,10535,121,21
174,10535,7,3
175,11128,33,8
176,11135,15,5
177,11135,17,6
178,11135,17,6
179,11135,17,6
180,11135,17,6
181,11135,59,16
182,11135,113,23
183,11135,11,3
184,11135,111,23
185,11135,111,23
186,11135,55,14
187,11135,97,22
188,11135,57,14
189,11135,89,20
190,11135,103,20
191,11135,175,29
192,11135,105,23
193,11135,41,13
194,11135,101,25
195,11135,89,20
196,11135,81,22
197,11135,53,15
198,11135,33,10
199,11135,103,23
200,11135,101,25
201,11135,67,19
202,11753,103,17
203,11753,103,17
204,11753,99,17
205,11753,103,17
206,11753,95,17
207,11753,107,20
208,11753,139,21
209,11753,123,20
210,11753,103,18
211,11753,67,14
212,11985,69,15
213,11985,69,15
214,11985,69,15
215,11985,69,15
216,11985,69,15
217,11985,167,33
218,11985,189,30
219,11985,115,19
220,11985,91,19
221,11985,71,16
222,11985,151,29
223,11985,67,16
224,11985,93,15
225,11985,155,30
226,11985,151,34
227,11985,175,29
228,11985,157,25
229,11985,165,33
230,11985,103,27
231,11985,169,33
232,11985,169,31
233,11985,129,21
234,11985,61,17
235,11985,171,31
236,11985,195,31
237,11985,151,23
238,11985,193,29
239,11985,85,23
240,11985,135,23
241,11985,163,31
242,11985,141,31
243,11985,103,16
244,11985,123,21
245,11985,173,27
246,11985,95,20
247,11985,165,31
248,11985,107,18
249,11985,155,30
250,11985,145,23
251,11985,139,22
252,11985,155,30
253,11985,153,22
254,11985,123,21
255,11985,195,24
256,11985,143,21
257,11985,101,15
258,11985,143,19
259,11985,75,14
260,11985,105,22
261,11985,139,21
262,11985,143,19
263,11985,155,20
264,11985,139,25
265,11985,165,22
266,11985,167,25
267,11985,117,28
268,11985,125,25
269,11985,153,24
270,11985,151,33
271,11985,61,13
272,11985,117,25
273,11985,161,25
274,11985,199,31
275,11985,193,38
276,11985,111,17
277,11985,183,25
278,11985,121,17
279,11985,151,23
280,11985,179,25
281,11985,157,26
282,11985,157,26
283,11985,189,27
284,11985,177,25
285,11985,155,26
286,11985,193,22
287,11985,87,19
288,11985,143,34
289,11985,83,18
290,11985,163,25
291,11985,181,25
292,11985,199,23
293,11985,159,26
294,11985,115,23
295,11985,165,22
296,11985,177,19
297,11985,133,21
298,11985,61,18
299,11985,145,21
300,11985,179,41
301,11985,121,19
302,11985,159,31
303,11985,141,21
304,11985,177,31
305,11985,45,13
306,11985,155,23
307,11985,111,21
308,11985,181,20
309,11985,157,21
310,11985,161,28
311,11985,169,23
312,11985,179,30
313,11985,139,21
314,11985,97,20
315,11985,155,22
316,11985,69,14
317,11985,77,23
318,11985,155,22
319,11985,163,22
320,11985,177,27
321,11985,185,27
322,11985,163,22
323,11985,109,19
324,11985,159,28
325,11985,165,29
326,11985,155,21
327,11985,165,33
328,11985,139,21
329,11985,191,37
330,11985,111,21
331,11985,197,23
332,11985,177,33
333,11985,93,19
334,11985,77,19
335,11985,183,31
336,11985,161,21
337,11985,93,16
338,11985,97,15
339,11985,101,21
340,11985,101,18
341,11985,117,18
342,11985,169,29
343,11985,79,17
344,11985,153,24
345,11985,153,24
346,11985,75,15
347,11985,173,35
348,11985,151,23
349,11985,119,23
350,11985,149,31
351,11985,141,31
352,11985,111,18
353,11985,127,29
354,11985,89,19
355,11985,129,31
356,11985,137,31
357,11985,99,18
358,11985,137,31
359,11985,143,31
360,11985,125,31
361,11985,145,31
362,11985,119,23
363,11985,109,18
364,11985,139,24
365,11985,165,39
366,11985,85,24
367,11985,177,40
368,11985,147,42
369,11985,101,23
370,11985,179,34
371,11985,157,27
372,11985,121,31
373,11985,135,33
374,11985,167,43
375,11985,127,18
376,11985,189,45
377,11985,125,31
378,11985,155,20
379,11985,75,15
380,11985,91,15
381,11985,121,17
382,11985,189,25
383,11985,125,20
384,11985,189,25
385,11985,65,14
386,11985,43,12
387,11985,147,35
388,11985,191,28
389,11985,195,41
390,11985,141,41
391,11985,123,22
392,11985,167,47
393,11985,169,43
394,11985,153,33
395,11985,175,34
396,11985,175,34
397,11985,139,29
398,11985,177,43
399,11985,113,26
400,11985,169,26
401,11985,99,26
402,11985,137,21
403,11985,93,26
404,11985,199,43
405,11985,71,21
406,11985,141,29
407,11985,167,28
408,11985,119,29
409,11985,159,33
410,11985,179,33
411,11985,169,40
412,11985,171,26
413,11985,185,29
