Generation,Champion Fitness,Champion Complexity,Champion Depth
1,11955,19,4
2,11955,19,4
3,13903,51,6
4,13903,51,6
5,13903,51,6
6,13903,51,6
7,15496,127,6
8,15500,133,8
9,15500,127,6
10,15542,133,8
11,15603,47,10
12,15603,17,4
13,15611,77,12
14,15886,21,6
15,15886,19,6
16,16050,33,8
17,16050,33,8
18,16050,31,7
19,16390,115,10
20,16390,121,10
21,16521,117,10
22,16521,137,12
23,16521,139,12
24,16521,137,12
25,16805,149,12
26,16805,149,12
27,16805,149,12
28,16805,137,12
29,16805,153,12
30,16946,127,9
31,16946,127,9
32,16946,135,9
33,16946,155,11
34,16946,129,9
35,16946,153,11
36,16946,155,11
37,16946,167,11
38,16946,155,11
39,16946,167,11
40,16946,165,12
41,16946,139,11
42,16946,173,11
43,16952,175,11
44,16970,177,13
45,16970,177,13
46,16970,177,13
47,16970,177,13
48,16970,183,13
49,16980,187,13
50,16980,187,13
51,16993,157,13
52,17012,95,9
53,17012,99,9
54,17097,177,11
55,17097,183,11
56,17097,179,11
57,17097,195,15
58,17097,195,15
59,17097,179,11
60,17126,189,15
61,17126,189,15
62,17126,171,11
63,17126,171,11
64,17126,189,15
65,17132,165,11
66,17132,165,11
67,17132,183,13
68,17132,147,11
69,17132,183,13
70,17132,165,11
71,17132,171,13
72,17132,173,11
73,17132,177,12
74,17132,163,11
75,17132,163,11
76,17132,161,11
77,17132,189,14
78,17132,193,12
79,17132,157,11
80,17132,155,12
81,19145,181,10
82,19145,181,10
83,19145,181,10
84,19145,183,10
85,19163,183,10
86,19163,181,10
87,19163,153,10
88,19163,149,10
89,19237,189,11
90,19237,189,11
91,19255,163,14
92,19255,173,14
93,19354,173,10
94,19354,169,10
95,19354,171,10
96,19354,171,10
97,19369,139,10
98,19369,139,10
99,19369,139,10
100,19608,169,11
101,19608,169,11
102,19608,175,11
103,19608,175,11
104,19608,183,11
105,19608,183,11
106,19608,197,11
107,19608,157,11
108,19608,173,11
109,19608,155,11
