Generation,Champion Fitness,Champion Complexity,Champion Depth
1,7944,15,3
2,7992,11,3
3,7992,43,6
4,8563,63,5
5,8707,77,8
6,9932,235,10
7,9932,243,12
8,10122,233,10
9,10122,233,10
10,10643,213,12
11,10643,217,12
12,10643,225,12
13,10643,235,12
14,11363,193,12
15,12637,203,12
16,12637,207,12
17,12893,203,12
18,12893,203,12
19,13342,107,13
20,13342,135,14
21,13342,153,19
22,13710,123,14
23,13710,131,14
24,13710,169,17
25,13710,123,14
26,13710,123,14
27,13710,159,17
28,13710,213,21
29,13710,139,16
30,13710,235,19
31,13710,115,14
32,13710,157,19
33,13710,211,23
34,13710,203,22
35,13710,245,22
36,13710,205,23
37,13710,293,27
38,13710,175,19
39,13710,249,18
40,13710,299,18
41,13710,269,27
42,13710,267,21
43,13710,255,24
44,13710,217,20
45,13710,213,21
46,13710,103,13
47,13710,219,19
48,13710,95,11
49,13710,211,22
50,14238,277,22
51,14238,277,22
52,14238,275,22
53,14238,261,22
54,14238,265,22
55,14238,275,22
56,14238,271,22
57,14238,261,22
58,14238,257,22
59,14238,263,22
60,14238,251,22
61,14238,263,22
62,14238,259,22
63,14238,257,22
64,14238,279,22
65,14238,243,22
66,14238,251,22
67,15799,17,4
68,15799,17,4
69,15799,19,5
70,15799,17,4
71,15818,11,4
72,15818,11,4
73,15820,17,4
74,15820,17,4
75,16112,45,9
76,16112,45,9
77,16112,45,9
78,16112,45,9
79,16112,45,9
80,16112,51,9
81,16142,23,5
82,16142,23,5
83,16163,27,8
84,16163,39,12
85,16194,15,5
86,16194,15,5
87,16336,19,6
88,16337,25,7
89,16337,23,6
90,16337,37,8
91,16337,23,6
92,16337,23,6
93,16337,21,6
94,16337,45,10
95,16337,9,4
96,16337,47,10
97,16337,69,15
98,16337,51,11
99,16337,75,14
100,16337,33,8
101,16337,87,14
102,16337,95,14
103,16337,97,17
104,16337,135,17
105,16337,43,9
106,16337,79,10
107,16352,81,11
108,16352,81,11
109,16352,81,11
110,16352,81,11
111,16352,81,11
112,16352,81,11
113,16352,81,11
114,16352,81,11
115,16352,81,11
116,16352,81,11
117,16352,81,11
118,16352,81,11
119,16352,81,11
120,16352,81,11
121,16367,283,38
122,16367,283,38
123,16367,283,38
124,16367,283,38
125,16367,283,38
126,16367,283,38
127,16367,283,38
128,16367,283,38
129,16367,283,38
130,16367,283,38
131,16367,283,38
132,16367,283,38
133,16367,283,38
134,16367,283,38
135,16367,283,38
136,16367,283,38
137,16367,283,38
138,16367,283,38
139,16367,283,38
140,16367,283,38
141,16367,283,38
142,16367,283,38
143,16367,283,38
144,16367,283,38
145,16367,283,38
146,16367,283,38
147,16367,283,38
148,16367,283,38
149,16367,283,38
150,16367,283,38
151,16367,283,38
152,16367,283,38
153,16367,283,38
154,16367,283,38
155,16367,283,38
156,16367,283,38
157,16367,283,38
158,16367,283,38
159,16367,283,38
160,16367,283,38
161,16367,283,38
162,16367,283,38
163,16367,283,38
164,16367,283,38
165,16367,283,38
166,16367,283,38
167,16367,283,38
168,16367,283,38
169,16367,283,38
170,16367,283,38
171,16367,283,38
172,16367,283,38
173,16367,283,38
174,16367,283,38
175,16367,283,38
176,16367,283,38
177,16367,283,38
178,16367,283,38
179,16367,283,38
180,16367,283,38
181,16367,283,38
182,16367,283,38
183,16367,283,38
184,16367,283,38
185,16367,283,38
186,16367,283,38
187,16367,283,38
188,16367,283,38
189,16367,283,38
190,16367,283,38
191,16367,283,38
192,16367,283,38
193,16367,283,38
194,16367,283,38
195,16367,283,38
196,16367,283,38
197,16367,283,38
198,16367,283,38
199,16367,283,38
200,16367,283,38
201,16367,283,38
202,16367,283,38
203,16367,283,38
204,16367,283,38
205,16367,283,38
206,16367,283,38
207,16367,283,38
208,16367,283,38
209,16367,283,38
210,16367,283,38
211,16367,283,38
212,16367,283,38
213,16367,283,38
214,16367,283,38
215,16367,283,38
216,16367,283,38
217,16367,283,38
218,16367,283,38
219,16367,283,38
220,16367,283,38
221,16367,283,38
222,16367,283,38
223,16367,283,38
224,16367,283,38
225,16367,283,38
226,16367,283,38
227,16367,283,38
228,16367,283,38
229,16367,283,38
230,16367,283,38
231,16367,283,38
232,16367,283,38
233,16367,283,38
234,16367,283,38
235,16367,283,38
236,16367,283,38
237,16367,283,38
238,16367,283,38
239,16367,283,38
240,16367,283,38
241,16367,283,38
242,16367,283,38
243,16367,283,38
244,16367,283,38
245,16367,283,38
246,16367,283,38
247,16367,283,38
248,16367,283,38
249,16367,283,38
250,16367,283,38
251,16367,283,38
252,16367,283,38
253,16367,283,38
254,16367,283,38
255,16367,283,38
256,16367,283,38
257,16367,283,38
258,16367,283,38
259,16367,283,38
260,16367,283,38
261,16367,283,38
262,16367,283,38
263,16367,283,38
264,16367,283,38
265,16367,283,38
266,16367,283,38
267,16367,283,38
268,16367,283,38
269,16367,283,38
270,16367,283,38
271,16367,283,38
272,16367,283,38
273,16367,283,38
274,16367,283,38
275,16512,97,13
276,16512,191,25
277,16512,71,11
278,16512,245,36
279,16550,41,8
280,16550,55,12
281,16550,43,8
282,16550,43,8
283,16550,89,18
284,16550,37,7
285,16550,49,11
286,16550,117,18
287,16564,27,7
288,16564,27,7
289,16564,27,7
290,16564,27,7
291,16564,27,7
292,16564,27,7
293,16564,27,7
294,16564,27,7
295,16564,27,7
296,16564,27,7
297,16564,27,7
298,16564,27,7
299,16564,27,7
300,16564,27,7
301,16564,27,7
302,16564,27,7
303,16564,27,7
304,16564,27,7
305,16564,27,7
306,16564,27,7
307,16564,27,7
308,16564,27,7
309,16564,27,7
310,16564,27,7
311,16564,27,7
312,16564,27,7
313,16564,27,7
314,16564,27,7
315,16564,27,7
316,16564,27,7
317,16564,27,7
318,16564,27,7
319,16564,27,7
320,16564,27,7
321,16564,27,7
322,16564,27,7
323,16564,27,7
324,16564,27,7
325,16564,27,7
326,16564,27,7
327,16564,27,7
328,16564,27,7
329,16564,27,7
330,16564,27,7
331,16564,27,7
332,16564,27,7
333,16564,27,7
334,16564,27,7
335,16564,27,7
336,16564,27,7
337,16564,27,7
338,16564,27,7
339,16564,27,7
340,16564,27,7
341,16564,27,7
342,16564,27,7
343,16564,27,7
344,16564,27,7
345,16564,27,7
346,16564,27,7
347,16564,27,7
348,16564,27,7
349,16564,27,7
350,16564,27,7
351,16564,27,7
352,16564,27,7
353,16564,27,7
354,16564,27,7
355,16564,27,7
356,16564,27,7
357,16564,27,7
358,16564,27,7
359,16564,27,7
360,16564,27,7
361,16564,27,7
362,16564,27,7
363,16564,27,7
364,16564,27,7
365,16564,27,7
366,16564,27,7
367,16564,27,7
368,16564,27,7
369,16564,27,7
370,16564,27,7
371,16564,27,7
372,16564,27,7
373,16564,27,7
374,16564,27,7
375,16564,27,7
376,16564,27,7
377,16564,27,7
378,16564,27,7
379,16564,27,7
380,16564,27,7
381,16564,27,7
382,16564,27,7
383,16564,27,7
384,16564,27,7
385,16564,27,7
386,16564,27,7
387,16564,27,7
388,16564,27,7
389,16564,27,7
390,16564,27,7
391,16564,27,7
392,16564,27,7
393,16564,27,7
394,16564,27,7
395,16564,27,7
396,16564,27,7
397,16564,27,7
398,16564,27,7
399,16564,27,7
400,16564,27,7
401,16564,27,7
402,16564,27,7
403,16564,27,7
404,16564,27,7
405,16564,27,7
406,16564,27,7
407,16564,27,7
408,16564,27,7
409,16564,27,7
410,16564,27,7
411,16564,27,7
412,16564,27,7
413,16564,27,7
414,16564,27,7
415,16564,27,7
416,16564,27,7
417,16564,27,7
418,16564,27,7
419,16564,27,7
420,16573,23,6
421,16573,23,6
422,16573,33,8
423,16573,57,11
424,16573,59,11
425,16573,55,10
426,16573,31,8
427,16573,163,20
428,16573,75,11
429,16577,69,12
430,16577,89,12
431,16577,89,12
432,16577,59,12
433,16577,81,12
434,16577,67,12
435,16577,189,20
436,16577,85,12
437,16577,69,13
438,16577,69,12
439,16577,89,18
440,16577,65,12
441,16577,111,18
442,16585,79,18
443,16585,79,18
444,16585,79,18
445,16585,79,18
446,16585,79,18
447,16585,79,18
448,16585,79,18
449,16585,79,18
450,16585,79,18
451,16585,79,18
452,16585,79,18
453,16585,79,18
454,16585,79,18
455,16585,79,18
456,16585,79,18
457,16585,79,18
458,16585,79,18
459,16585,79,18
460,16585,79,18
461,16585,79,18
462,16585,79,18
463,16585,79,18
464,16585,79,18
465,16585,79,18
466,16585,79,18
467,16585,79,18
468,16585,79,18
469,16585,79,18
470,16585,79,18
471,16585,79,18
472,16585,79,18
473,16585,79,18
474,16585,79,18
475,16585,79,18
476,16585,79,18
477,16585,79,18
478,16585,79,18
479,16585,79,18
480,16585,79,18
481,16585,79,18
482,16585,79,18
483,16585,79,18
484,16585,79,18
485,16585,79,18
486,16585,79,18
487,16585,79,18
488,16585,79,18
489,16585,79,18
490,16585,79,18
491,16585,79,18
492,16585,79,18
493,16585,79,18
494,16585,79,18
495,16585,79,18
496,16585,79,18
497,16585,79,18
498,16590,149,30
499,16590,149,30
500,16590,149,30
501,16590,149,30
502,16590,149,30
503,16590,149,30
504,16590,149,30
505,16590,149,30
506,16590,149,30
507,16590,149,30
508,16590,149,30
509,16590,149,30
510,16590,149,30
511,16590,149,30
512,16590,149,30
513,16590,149,30
514,16590,149,30
515,16590,149,30
516,16590,149,30
517,16590,149,30
518,16590,149,30
519,16590,149,30
520,16590,149,30
521,16590,149,30
522,16590,149,30
523,16590,149,30
524,16590,149,30
525,16590,149,30
526,16590,149,30
527,16590,149,30
528,16590,149,30
529,16590,149,30
530,16590,149,30
531,16590,149,30
532,16590,149,30
533,16590,149,30
534,16590,149,30
535,16590,149,30
536,16590,149,30
537,16590,149,30
538,16590,149,30
539,16590,149,30
540,16590,149,30
541,16590,149,30
542,16590,149,30
543,16590,149,30
544,16590,149,30
545,16601,221,32
546,16601,221,32
547,16601,221,32
548,16601,221,32
549,16601,221,32
550,16601,221,32
551,16601,221,32
552,16601,221,32
553,16601,221,32
554,16601,221,32
555,16601,221,32
556,16601,221,32
557,16601,221,32
558,16601,221,32
559,16601,221,32
560,16601,221,32
561,16601,221,32
562,16601,221,32
563,16601,221,32
564,16601,221,32
565,16601,221,32
566,16601,221,32
567,16601,221,32
568,16601,221,32
569,16601,221,32
570,16601,221,32
571,16601,221,32
572,16601,221,32
573,16601,221,32
574,16601,221,32
575,16601,221,32
576,16601,221,32
577,16601,221,32
578,16601,221,32
579,16601,221,32
580,16601,221,32
581,16601,221,32
582,16601,221,32
583,16601,221,32
584,16601,221,32
585,16601,221,32
586,16601,221,32
587,16601,221,32
588,16601,221,32
589,16601,221,32
590,16601,221,32
591,16601,221,32
592,16601,221,32
593,16601,221,32
594,16601,221,32
595,16601,221,32
596,16601,221,32
597,16601,221,32
598,16601,221,32
599,16601,221,32
600,16601,221,32
601,16601,221,32
602,16601,221,32
603,16601,221,32
604,16601,221,32
605,16601,221,32
606,16601,221,32
607,16601,221,32
608,16601,221,32
609,16601,221,32
610,16601,221,32
611,16601,221,32
612,16601,221,32
613,16601,221,32
614,16601,221,32
615,16601,221,32
616,16601,221,32
617,16601,221,32
618,16601,221,32
619,16601,221,32
620,16601,221,32
621,16601,221,32
622,16601,221,32
623,16601,221,32
624,16601,221,32
625,16601,221,32
626,16601,221,32
627,16601,221,32
628,16601,221,32
629,16601,221,32
630,16601,221,32
631,16601,221,32
632,16601,221,32
633,16601,221,32
634,16601,221,32
635,16601,221,32
636,16601,221,32
637,16601,221,32
638,16601,221,32
639,16601,221,32
640,16601,221,32
641,16601,221,32
642,16601,221,32
643,16601,221,32
644,16601,221,32
645,16601,221,32
646,16601,221,32
647,16601,221,32
648,16601,221,32
649,16601,221,32
650,16601,221,32
