Generation,Maximum Fitness
1,1501
2,1501
3,1585
4,1585
5,1979
6,1979
7,2707
8,2707
9,2707
10,2992
11,2992
12,2996
13,2996
14,2996
15,2996
16,2996
17,3178
18,3178
19,3178
20,3178
21,3178
22,3185
23,3185
24,3185
25,3185
26,3185
27,3185
28,3185
29,3185
30,3185
31,3185
32,3370
33,3370
34,3370
35,3370
36,3371
37,3371
38,3371
39,3371
40,3371
41,3371
42,3371
43,3371
44,3371
45,3371
46,3371
47,3371
48,3371
49,3371
50,3371
51,3371
52,3371
53,3371
54,3371
55,3371
56,3371
57,3371
58,3371
59,3371
60,3371
61,3371
62,3371
63,3425
64,3425
65,3425
66,3425
67,3425
68,3425
69,3425
70,3425
71,3425
72,3425
73,3425
74,3425
75,4026
76,4026
77,4026
78,4026
79,4026
80,4026
81,4026
82,4026
83,4026
84,4026
85,4026
86,4026
87,4026
88,4026
89,4026
90,4026
91,4026
92,4026
93,4026
94,4026
95,4026
96,4026
97,4026
98,4026
99,4065
100,4065
101,4065
102,4554
103,4554
104,4554
105,4554
106,4554
107,4554
108,4554
109,4554
110,4554
111,4560
112,4560
113,4560
114,4560
115,4560
116,4560
117,4560
118,4560
119,4560
120,4560
121,4560
122,4560
123,4632
124,4640
125,4640
126,4640
127,4640
128,4640
129,4640
130,4640
131,4640
132,4640
133,4640
134,4640
135,4640
136,4640
137,4640
138,4640
139,4640
140,4640
141,4640
142,4640
143,4640
144,4640
145,4703
146,4703
147,4703
148,4703
149,4703
150,4703
151,4703
152,4703
153,4703
154,4703
155,4703
156,4703
157,4703
158,4703
159,4703
160,4703
161,4703
162,4703
163,4703
164,4703
165,4703
166,4703
167,4703
168,4703
169,4703
170,4703
171,4703
172,4703
173,4703
174,4703
175,4703
176,4703
177,4703
178,4703
179,4703
180,4703
181,4703
182,4703
183,4703
184,4703
185,4703
186,4703
187,4703
188,4703
189,4703
190,4703
191,4703
192,4703
193,4703
194,4703
195,4703
196,4703
197,4703
198,4703
199,4703
200,4783
201,4783
202,4783
203,4783
204,4783
205,4783
206,4783
207,4783
208,4783
209,4783
210,4783
211,4783
212,4783
213,4783
214,4783
215,4783
216,4783
217,4783
218,4783
219,4783
220,4783
221,4783
222,4783
223,4783
224,4783
225,4783
226,4783
227,4783
228,4783
229,4783
230,4783
231,4783
232,4783
233,4783
234,4783
235,4783
236,4783
237,4783
238,4783
239,4783
240,4783
241,4783
242,4783
243,4783
244,4783
245,4783
246,4783
247,4783
248,4783
249,4783
250,4783
251,4783
252,4783
253,4783
254,4783
255,4783
256,4783
257,4783
258,4783
259,4783
260,4783
261,4783
262,4783
263,4783
264,4783
265,4783
266,4783
267,4783
268,4783
269,4783
270,4783
271,4783
272,4783
273,4783
274,4783
275,4783
276,4783
277,4783
278,4783
279,4783
280,4783
281,4783
282,4783
283,4783
284,4783
285,4783
286,4783
287,4783
288,4783
289,4783
290,4783
291,4783
292,4783
