Generation,Champion Fitness,Champion Complexity,Champion Depth
1,1392,1000,8
2,2285,1000,7
3,2285,1000,7
4,2285,1000,7
5,2285,1000,7
6,2285,1000,10
7,2285,1000,10
8,2428,1000,9
9,2428,1000,9
10,2580,1000,10
11,2580,1000,11
12,2580,1000,10
13,2581,1000,11
14,2581,1000,11
15,2581,1000,11
16,2581,1000,11
17,2581,1000,13
18,2581,1000,11
19,2581,1000,13
20,2581,1000,14
21,2588,1000,11
22,2620,1000,13
23,2620,1000,13
24,2621,1000,13
25,2621,1000,13
26,2621,1000,15
27,2827,1000,14
28,2827,1000,14
29,2827,1000,14
30,2827,1000,16
31,2828,1000,14
32,2828,1000,14
33,2828,1000,12
34,2828,1000,12
35,2828,1000,20
36,2828,1000,15
37,2828,1000,14
38,2828,1000,14
39,2828,1000,14
40,2828,1000,15
41,2828,1000,15
42,2828,1000,15
43,2828,1000,18
44,2828,1000,15
45,2835,1000,18
46,2835,1000,18
47,2835,1000,18
48,2835,1000,18
49,2835,1000,30
50,2835,1000,18
51,2835,1000,20
52,2835,1000,18
53,2835,1000,18
54,2835,1000,18
55,2835,1000,15
56,2835,1000,18
57,2835,1000,15
58,2835,1000,18
59,2835,1000,18
60,2835,1000,18
61,2835,1000,23
62,2835,1000,25
63,2835,1000,15
64,2847,1000,14
65,2847,1000,14
66,2847,1000,14
67,2847,1000,14
68,2847,1000,14
69,2847,1000,14
70,2847,1000,14
71,2847,1000,14
72,2847,1000,16
73,2847,1000,25
74,2847,1000,25
75,2847,1000,25
76,2847,1000,18
77,2847,1000,25
78,2847,1000,20
79,2847,1000,16
80,2847,1000,18
81,2847,1000,14
82,2847,1000,25
83,2847,1000,16
84,2847,1000,16
85,2847,1000,25
86,2847,1000,16
87,2847,1000,25
88,2847,1000,26
89,2847,1000,20
90,2847,1000,17
91,2847,1000,22
92,2847,1000,17
93,2847,1000,23
94,2847,1000,25
95,2847,1000,17
96,2847,1000,25
97,2847,1000,19
98,2847,1000,30
99,2847,1000,14
100,2847,1000,16
101,2847,1000,16
102,2847,1000,24
103,2847,1000,17
104,2847,1000,24
105,2847,1000,19
106,2847,1000,25
107,2847,1000,25
108,2847,1000,24
109,2847,1000,32
110,2847,1000,30
111,2847,1000,32
112,2847,1000,24
113,2847,1000,24
114,2847,1000,32
115,2847,1000,26
116,2847,1000,15
117,2847,1000,28
118,2892,1000,32
119,2892,1000,32
120,2892,1000,32
121,2892,1000,32
122,2892,1000,32
123,2892,1000,34
124,2892,1000,32
125,2892,1000,32
126,2892,1000,32
127,2892,1000,32
128,2892,1000,22
129,2892,1000,32
130,2892,1000,32
131,2892,1000,32
132,2892,1000,30
133,2892,1000,32
134,2892,1000,23
135,2892,1000,32
136,2892,1000,35
137,2892,1000,32
138,2892,1000,32
139,2892,1000,23
140,2892,1000,32
141,2892,1000,32
142,2892,1000,32
143,2892,1000,32
144,2892,1000,32
145,2892,1000,32
146,2892,1000,23
147,2892,1000,32
148,2892,1000,31
149,2892,1000,34
150,2892,1000,32
151,2892,1000,34
152,2892,1000,32
153,2892,1000,32
154,2896,1000,22
155,2896,1000,22
156,2896,1000,32
157,2896,1000,22
158,2897,1000,32
159,2897,1000,32
160,3318,1000,4
161,3318,1000,4
162,3318,1000,4
163,3318,1000,4
164,3318,1000,4
165,3579,1000,4
